"","cpid","livelihood.strategies","livelihood.category","incomeid","variable","value"
"3925","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"11",1
"3927","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"11",1
"3928","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"11",1
"3929","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"11",1
"3930","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"11",1
"3931","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"11",1
"3934","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"11",1
"3936","KHANDWA","Maize","AGRICULTURE",102,"11",1
"3938","KHANDWA"," Wheat ","AGRICULTURE",104,"11",1
"3939","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"11",1
"3940","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"11",1
"3941","KHANDWA"," Cotton","AGRICULTURE",107,"11",1
"3943","KHANDWA"," Soyabean ","AGRICULTURE",109,"11",1
"3944","KHANDWA","Sugarcane","AGRICULTURE",110,"11",1
"3946","KHANDWA"," banana","TREE BASED LIVELIHOOD",201,"11",1
"3948","KHANDWA"," goat","SHEEP/GOAT REARING",301,"11",1
"3951","KHANDWA"," hen","OTHER LIVESTOCKS",502,"11",1
"3954","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"11",1
"3956","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"11",1
"3960","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"11",1
"3972","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"11",1
"3973","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"11",1
"3976","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"11",1
"3977","KHANDWA","local skilled labor (Mason, Carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"11",1
"3978","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"11",1
"3979","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"11",1
"3981","KHANDWA","migration for unskilled labor(construction site,Labor in private Company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"11",1
"3982","MAHBUBNAGAR","rice ","AGRICULTURE",101,"11",1
"3983","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"11",1
"3984","MAHBUBNAGAR","cotton","AGRICULTURE",103,"11",1
"3985","MAHBUBNAGAR","pulses(blackgram,greengram,redgram,bengalgram,horsegram)","AGRICULTURE",104,"11",1
"3986","MAHBUBNAGAR","ground nut","AGRICULTURE",105,"11",1
"3988","MAHBUBNAGAR","sun flower","AGRICULTURE",107,"11",1
"3991","MAHBUBNAGAR","sajja(type of sorghum)","AGRICULTURE",110,"11",1
"3992","MAHBUBNAGAR","raagulu(type of sesame)","AGRICULTURE",111,"11",1
"3993","MAHBUBNAGAR","vegetable(tomato,brinjal,onion,okra,chilli,bittergourd,sorakaya(type of brinjal),keera,beera(type of bitter gourd),potato,fenugreek,spinach and coriander)","AGRICULTURE",112,"11",1
"3995","MAHBUBNAGAR","sapota (type of apple)","TREE BASED LIVELIHOOD",202,"11",1
"3996","MAHBUBNAGAR","orange orchard  (owner)","TREE BASED LIVELIHOOD",203,"11",1
"3997","MAHBUBNAGAR","custerd apple","TREE BASED LIVELIHOOD",204,"11",1
"3999","MAHBUBNAGAR","mango orchard  (owner)","TREE BASED LIVELIHOOD",206,"11",1
"4000","MAHBUBNAGAR","lemon","TREE BASED LIVELIHOOD",207,"11",1
"4002","MAHBUBNAGAR","goat for meat","SHEEP/GOAT REARING",301,"11",1
"4003","MAHBUBNAGAR","sheep for meat","SHEEP/GOAT REARING",302,"11",1
"4004","MAHBUBNAGAR","cow for milk","DAIRY CATTLE",401,"11",1
"4005","MAHBUBNAGAR","bullocks","DAIRY CATTLE",402,"11",1
"4006","MAHBUBNAGAR","hen for meat","OTHER LIVESTOCKS",501,"11",1
"4007","MAHBUBNAGAR","bullocks for agriculture","OTHER LIVESTOCKS",502,"11",1
"4010","MAHBUBNAGAR","kallu(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"11",1
"4012","MAHBUBNAGAR","consumer goods(stationary shop,cloth shop,selling fertilizer,grocery shop)","TRADE/BUSINESS/SERVICES",801,"11",1
"4013","MAHBUBNAGAR","perhisable goods(mutton shop,chicken shop,tea shop,jewellary)","TRADE/BUSINESS/SERVICES",802,"11",1
"4014","MAHBUBNAGAR","mechannical business(cycle repair shop,motor cycle repair shop)  ","TRADE/BUSINESS/SERVICES",803,"11",1
"4015","MAHBUBNAGAR","tailor shop","TRADE/BUSINESS/SERVICES",804,"11",1
"4016","MAHBUBNAGAR","private transport business(auto,tractor,lorry(owner))","TRADE/BUSINESS/SERVICES",805,"11",1
"4018","MAHBUBNAGAR","pds dealer","TRADE/BUSINESS/SERVICES",807,"11",1
"4019","MAHBUBNAGAR","fire wood","NTFP COLLECTION",901,"11",1
"4020","MAHBUBNAGAR","govt.salaried job(teacher,police(s.i),conistable,village revenue officer,vatenary doctor,home guard,bank manager,sarpanch)","SALARIED JOB",1001,"11",1
"4021","MAHBUBNAGAR","private salaried job(watchman,teacher,mechanic worker,sales man)","SALARIED JOB",1002,"11",1
"4022","MAHBUBNAGAR","govt/private pension(retirement)","SALARIED JOB",1003,"11",1
"4025","MAHBUBNAGAR","social secretary pension(old age pension,widow pension,disabled penson)","PENSION / REMITTANCES",1101,"11",1
"4026","MAHBUBNAGAR","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"11",1
"4027","MAHBUBNAGAR","local skilled labor(centering worker,mistri,carpenter,welder)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"11",1
"4028","MAHBUBNAGAR","local unskilled labor(construction labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"11",1
"4030","MAHBUBNAGAR","migratory skilled labor(mistri, dry cleanerwork in mumbai city)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"11",1
"4033","MALKANGIRI","Paddy","AGRICULTURE",102,"11",1
"4034","MALKANGIRI","Ragi(millet)","AGRICULTURE",103,"11",1
"4035","MALKANGIRI","sua(fox tail millet)","AGRICULTURE",104,"11",1
"4037","MALKANGIRI","Vegetable(Ash gourd, banglore baigano,beans,bitter gourd,bottle gourd,brinjal,butter beans,cabbage,cauliflower,chillies,dhonia,drumsticks,evy gourd,garlic,ginger,kidney beans,lady's finger,pumpkin,raddish,ridge gourd,snake gourd,kohlrabi,spinach,sweet root,tomato , tumeric)","AGRICULTURE",106,"11",1
"4038","MALKANGIRI","pulses (black gram,boroboti,dongor rani, green gram, horse gram, jhudungo, pigeon pea)","AGRICULTURE",107,"11",1
"4040","MALKANGIRI","Ground nut","AGRICULTURE",109,"11",1
"4041","MALKANGIRI","onion","AGRICULTURE",110,"11",1
"4043","MALKANGIRI","seasame","AGRICULTURE",112,"11",1
"4046","MALKANGIRI","banana","TREE BASED LIVELIHOOD",201,"11",1
"4047","MALKANGIRI","papaya","TREE BASED LIVELIHOOD",202,"11",1
"4049","MALKANGIRI","mango","TREE BASED LIVELIHOOD",204,"11",1
"4050","MALKANGIRI","Tamarind","TREE BASED LIVELIHOOD",205,"11",1
"4051","MALKANGIRI","Mahua Flower","TREE BASED LIVELIHOOD",206,"11",1
"4052","MALKANGIRI","Goat for meat","SHEEP/GOAT REARING",301,"11",1
"4053","MALKANGIRI","Sheep for meat","SHEEP/GOAT REARING",302,"11",1
"4054","MALKANGIRI","Buffalo for agriculture","OTHER LIVESTOCKS",501,"11",1
"4055","MALKANGIRI","Bullocks for agriculture","OTHER LIVESTOCKS",502,"11",1
"4056","MALKANGIRI","Cow for agriculture","OTHER LIVESTOCKS",503,"11",1
"4057","MALKANGIRI","Duck for meat","OTHER LIVESTOCKS",504,"11",1
"4059","MALKANGIRI","hen for meat","OTHER LIVESTOCKS",506,"11",1
"4060","MALKANGIRI","Swan for meat","OTHER LIVESTOCKS",507,"11",1
"4061","MALKANGIRI","sale of wild fish(chigudi,kalipati,kapdu,moya)","FISHING/AQUACULTURE",601,"11",1
"4062","MALKANGIRI","sale of cultivated fish(american carp,grass carp,silver carp,telapia)","FISHING/AQUACULTURE",602,"11",1
"4064","MALKANGIRI","stone business","HOME PRODUCTION(SMALL-SCALE PROCESSING)",702,"11",1
"4066","MALKANGIRI","mahua(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",704,"11",1
"4068","MALKANGIRI","Solopo(local drink)","TRADE/BUSINESS/SERVICES",801,"11",1
"4089","MALKANGIRI","Tendu leaf","NTFP COLLECTION",909,"11",1
"4091","MALKANGIRI","mahua fruit from forest","NTFP COLLECTION",911,"11",1
"4093","MALKANGIRI","govt salaried job(Anganwadi helper,anganbadi karmi,army personnel, asha didi,clerk in malkangiri  college, peon in panchayat office, police, post master, peon in tahesildaar office,teacher,watchman)","SALARIED JOB",1002,"11",1
"4095","MALKANGIRI","social security pension(disabled pension, old age pension, widow pension)","PENSION / REMITTANCES",1101,"11",1
"4096","MALKANGIRI","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"11",1
"4098","MALKANGIRI","local unskilled labor(construction labor,nrega labor,plumber)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"11",1
"4101","MALKANGIRI","migratory unkilled labor(construction labor, labor in factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"11",1
"4102","PALAMU","Maize","AGRICULTURE",101,"11",1
"4103","PALAMU","Paddy","AGRICULTURE",102,"11",1
"4108","PALAMU","Pulses(Gram,Masuri,Tur,Kurthi,Khesari)","AGRICULTURE",107,"11",1
"4114","PALAMU","sesame","AGRICULTURE",113,"11",1
"4115","PALAMU","Tisi","AGRICULTURE",114,"11",1
"4118","PALAMU","Mahua fruit (private sources)","TREE BASED LIVELIHOOD",203,"11",1
"4120","PALAMU","Goat ","SHEEP/GOAT REARING",301,"11",1
"4121","PALAMU","Dairy cattle(Buffalo milk,Cow Milk)","DAIRY CATTLE",401,"11",1
"4125","PALAMU","Bullock  ","OTHER LIVESTOCKS",504,"11",1
"4127","PALAMU","Hen ","OTHER LIVESTOCKS",506,"11",1
"4138","PALAMU","Private transport business(tractor,Commander,Balero, Cressor)","TRADE/BUSINESS/SERVICES",804,"11",1
"4141","PALAMU","Consumer goods(grocery store )","TRADE/BUSINESS/SERVICES",807,"11",1
"4155","PALAMU"," Fire Wood ","NTFP COLLECTION",905,"11",1
"4159","PALAMU","Govt  Salaried job(Block Development officer,Jharkhand police,Para teacher,College professor,govt teacher,Railway dept(Group D),Army Police, Border secruty force, Bihar Police force.Anganwari sewika)","SALARIED JOB",1001,"11",1
"4160","PALAMU","Private salaried Job(Driver ,Civil  engineer)","SALARIED JOB",1002,"11",1
"4162","PALAMU","Social secruty Pension(disabled pension,old age Pension,Widow Pension )","PENSION / REMITTANCES",1101,"11",1
"4164","PALAMU","local skilled labor (barhi,mistri, rajmistri,sculpture)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"11",1
"4165","PALAMU","local unskilled labor (stone works, soil related labor,NREGA )","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"11",1
"4168","PALAMU","migratory unskilled labor(building construction, bridge construction, works in cressor) ","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"11",1
"4169","BANKURA","Potato","AGRICULTURE",107,"11",1
"4170","BANKURA","Khasla (oil seed)","AGRICULTURE",108,"11",1
"4172","BANKURA","Onion","AGRICULTURE",110,"11",1
"4175","BANKURA","Bamboo ","TREE BASED LIVELIHOOD",203,"11",1
"4178","BANKURA","Sheep ","SHEEP/GOAT REARING",301,"11",1
"4179","BANKURA","Goat ","SHEEP/GOAT REARING",302,"11",1
"4183","BANKURA","Duck (Egg and meat)","OTHER LIVESTOCKS",503,"11",1
"4184","BANKURA","Hen (Egg and meat)","OTHER LIVESTOCKS",504,"11",1
"4185","BANKURA"," pig","OTHER LIVESTOCKS",505,"11",1
"4189","BANKURA","Mat (made from leaves of date tree)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"11",1
"4192","BANKURA","Kula,kucha,Kuchi, Khari,  (Bamboo products)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",704,"11",1
"4195","BANKURA","Perishable goods (vegetable store,tea & sweet stall,Chicken Shop,Pan stall, Bakery )","TRADE/BUSINESS/SERVICES",803,"11",1
"4196","BANKURA","plough maker","TRADE/BUSINESS/SERVICES",804,"11",1
"4197","BANKURA","sale of kerosene (from PDS)","TRADE/BUSINESS/SERVICES",805,"11",1
"4199","BANKURA","Consumer goods (grocery shop,Medicine shop,Dashakarma shop[idols,dieties],Garment shop,shoes shop,Stationary shop,variety shop,Hardware shop,cement & rod shop,fertilizer shop,Tin,Asbestor,  )","TRADE/BUSINESS/SERVICES",807,"11",1
"4201","BANKURA","Mill Owner (Mill for Processing of Rice & Wheat)","TRADE/BUSINESS/SERVICES",809,"11",1
"4205","BANKURA","Mechanical business (cycle & motor cycle repair shops)","TRADE/BUSINESS/SERVICES",813,"11",1
"4209","BANKURA","Private Transport Owner","TRADE/BUSINESS/SERVICES",817,"11",1
"4210","BANKURA","Poultry farm Owner","TRADE/BUSINESS/SERVICES",818,"11",1
"4214","BANKURA","Bamboo collected from forest","NTFP COLLECTION",901,"11",1
"4215","BANKURA","Govt. salaried Job (indian oil corporation,income tax dept, high school teacher, primary teacher,doctor,Railway clerk, central reserve police force,PWD night guard,Supply Inspector,panchayat secretary,ITBM,WBP,BSF,Army,Vetenary compounder,High school teacher,Post office Peon,Health dept,BLRO Peon,Block office,clerk,Kolkata Police,Central Industrial Security Force,School clerk,Railway police force,Supervisor in ICDS,Aganwari teacher,Nursery teacher,BDO,ADO,Post master,Bank Peon,Kangsabati Corporation's employee, Damodar valley corporation)","SALARIED JOB",1001,"11",1
"4216","BANKURA","Private Salaried Job (Driver,Law clerk,Tata motors,Cook in Military Canteen, Civic police,Engineer,Private Company,Fertilizer factory,Vest Factory,Data entry operator,Iron factory,Advocate,Nurse)","SALARIED JOB",1002,"11",1
"4219","BANKURA","local agriculture labour (Harvesting & Sowing)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"11",1
"4221","BANKURA","local unskilled labor(NREGA,Roof maker,Helper)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"11",1
"4222","BANKURA","migratory agriculture labor(sowing and harvesting of paddy)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"11",1
"4224","BANKURA","migratory unskilled labor(labor for soil works,road/bridge/building construction,stone chipping, labor in hotel, worker in wholesale shop,labor in mill,helper with truck/bus,power plant,R.N factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"11",1
"4225","KACHCHH","Wheat","AGRICULTURE",101,"12",1
"4226","KACHCHH","Cotton","AGRICULTURE",102,"12",1
"4227","KACHCHH"," Sesame ","AGRICULTURE",103,"12",1
"4228","KACHCHH","Pulses (Mug, Math)","AGRICULTURE",104,"12",1
"4229","KACHCHH"," Sovin","AGRICULTURE",105,"12",1
"4231","KACHCHH"," Castor","AGRICULTURE",107,"12",1
"4232","KACHCHH"," Groundnut","AGRICULTURE",108,"12",1
"4233","KACHCHH"," Bajra(Millet)","AGRICULTURE",109,"12",1
"4235","KACHCHH","Isabgol","AGRICULTURE",111,"12",1
"4242","KACHCHH","Sheep","SHEEP/GOAT REARING",301,"12",1
"4243","KACHCHH","Goat","SHEEP/GOAT REARING",302,"12",1
"4244","KACHCHH","milk from cow","DAIRY CATTLE",401,"12",1
"4245","KACHCHH","milk from buffalo","DAIRY CATTLE",402,"12",1
"4248","KACHCHH","charcoal production","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"12",1
"4255","KACHCHH","consumer goods (Ration Shop)","TRADE/BUSINESS/SERVICES",807,"12",1
"4261","KACHCHH","Govt salaried job ( police,pwd,teacher,postman,aganvadiworker,aganvadi helper,elec tric board,state transport,b s f,Railway Police,Coast guard,Indian Army)","SALARIED JOB",1002,"12",1
"4263","KACHCHH","social security pension (Window pension)","PENSION / REMITTANCES",1101,"12",1
"4264","KACHCHH","local Agriculture Labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"12",1
"4265","KACHCHH","local skilled labor(Mason, carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"12",1
"4266","KACHCHH","local unskilled labor  (factory, indian air force,company)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"12",1
"4270","DEVAS"," paddy ","AGRICULTURE",101,"12",1
"4271","DEVAS","Wheat","AGRICULTURE",102,"12",1
"4272","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"12",1
"4273","DEVAS","Tilli","AGRICULTURE",104,"12",1
"4274","DEVAS","groundnut","AGRICULTURE",105,"12",1
"4275","DEVAS","chillies","AGRICULTURE",106,"12",1
"4276","DEVAS","jowar","AGRICULTURE",107,"12",1
"4277","DEVAS","maize","AGRICULTURE",108,"12",1
"4278","DEVAS","cotton","AGRICULTURE",109,"12",1
"4279","DEVAS","Soyabean","AGRICULTURE",110,"12",1
"4280","DEVAS","onion","AGRICULTURE",111,"12",1
"4281","DEVAS","potato","AGRICULTURE",112,"12",1
"4282","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"12",1
"4283","DEVAS"," goat ","SHEEP/GOAT REARING",301,"12",1
"4284","DEVAS","goat (for meat)","SHEEP/GOAT REARING",302,"12",1
"4285","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"12",1
"4286","DEVAS","hen ","OTHER LIVESTOCKS",501,"12",1
"4287","DEVAS","bullocks","OTHER LIVESTOCKS",502,"12",1
"4292","DEVAS","Mahua (liquor)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"12",1
"4293","DEVAS","ET Banana (brick making)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",704,"12",1
"4294","DEVAS","Rassi Banana(rope making)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",705,"12",1
"4295","DEVAS","Kangi Banana( comb maker)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",706,"12",1
"4296","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"12",1
"4297","DEVAS","Consumer goods (grocery store,flour mill)","TRADE/BUSINESS/SERVICES",801,"12",1
"4299","DEVAS","Kamkaji Lakadi (sale of small timber)","TRADE/BUSINESS/SERVICES",803,"12",1
"4307","DEVAS","Mahua fruit","NTFP COLLECTION",904,"12",1
"4308","DEVAS","Government Salaried job(Choukidar,Aanganwadi Teacher,Forest Guard,M.P. police,School Teacher,Army,Patwari ","SALARIED JOB",1001,"12",1
"4309","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"12",1
"4311","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"12",1
"4312","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"12",1
"4313","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"12",1
"4314","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"12",1
"4315","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"12",1
"4318","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"12",1
"4319","KHANDWA"," Jowar","AGRICULTURE",101,"12",1
"4320","KHANDWA","Maize","AGRICULTURE",102,"12",1
"4322","KHANDWA"," Wheat ","AGRICULTURE",104,"12",1
"4323","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"12",1
"4324","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"12",1
"4325","KHANDWA"," Cotton","AGRICULTURE",107,"12",1
"4326","KHANDWA"," Mugfali","AGRICULTURE",108,"12",1
"4327","KHANDWA"," Soyabean ","AGRICULTURE",109,"12",1
"4331","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"12",1
"4332","KHANDWA"," goat","SHEEP/GOAT REARING",301,"12",1
"4333","KHANDWA","Dairy (cow milk,buffalo milk)","DAIRY CATTLE",401,"12",1
"4335","KHANDWA"," hen","OTHER LIVESTOCKS",502,"12",1
"4338","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"12",1
"4340","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"12",1
"4341","KHANDWA","Charwaha(shepherd)","TRADE/BUSINESS/SERVICES",802,"12",1
"4344","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"12",1
"4348","KHANDWA","Perishable goods ( pan shop, chicken shop, mutton shop,tea shop, restaurant)","TRADE/BUSINESS/SERVICES",809,"12",1
"4354","KHANDWA"," charoli seeds","NTFP COLLECTION",901,"12",1
"4356","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"12",1
"4357","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"12",1
"4359","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"12",1
"4360","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"12",1
"4362","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"12",1
"4363","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"12",1
"4365","KHANDWA","migration for unskilled labor(construction site,Labor in private Company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"12",1
"4366","MAHBUBNAGAR","rice ","AGRICULTURE",101,"12",1
"4367","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"12",1
"4368","MAHBUBNAGAR","cotton","AGRICULTURE",103,"12",1
"4369","MAHBUBNAGAR","pulses(blackgram,greengram,redgram,bengalgram,horsegram)","AGRICULTURE",104,"12",1
"4370","MAHBUBNAGAR","ground nut","AGRICULTURE",105,"12",1
"4372","MAHBUBNAGAR","sun flower","AGRICULTURE",107,"12",1
"4374","MAHBUBNAGAR","castor","AGRICULTURE",109,"12",1
"4375","MAHBUBNAGAR","sajja(type of sorghum)","AGRICULTURE",110,"12",1
"4377","MAHBUBNAGAR","vegetable(tomato,brinjal,onion,okra,chilli,bittergourd,sorakaya(type of brinjal),keera,beera(type of bitter gourd),potato,fenugreek,spinach and coriander)","AGRICULTURE",112,"12",1
"4378","MAHBUBNAGAR","guava","TREE BASED LIVELIHOOD",201,"12",1
"4379","MAHBUBNAGAR","sapota (type of apple)","TREE BASED LIVELIHOOD",202,"12",1
"4381","MAHBUBNAGAR","custerd apple","TREE BASED LIVELIHOOD",204,"12",1
"4383","MAHBUBNAGAR","mango orchard  (owner)","TREE BASED LIVELIHOOD",206,"12",1
"4386","MAHBUBNAGAR","goat for meat","SHEEP/GOAT REARING",301,"12",1
"4387","MAHBUBNAGAR","sheep for meat","SHEEP/GOAT REARING",302,"12",1
"4388","MAHBUBNAGAR","cow for milk","DAIRY CATTLE",401,"12",1
"4389","MAHBUBNAGAR","bullocks","DAIRY CATTLE",402,"12",1
"4390","MAHBUBNAGAR","hen for meat","OTHER LIVESTOCKS",501,"12",1
"4391","MAHBUBNAGAR","bullocks for agriculture","OTHER LIVESTOCKS",502,"12",1
"4393","MAHBUBNAGAR","sale of cultivated fish(kora matta(slivercrap),kamshali,jellalu(rohi),botchallu(catla),royallu,rohathlu(grass craph)","FISHING/AQUACULTURE",602,"12",1
"4394","MAHBUBNAGAR","kallu(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"12",1
"4396","MAHBUBNAGAR","consumer goods(stationary shop,cloth shop,selling fertilizer,grocery shop)","TRADE/BUSINESS/SERVICES",801,"12",1
"4397","MAHBUBNAGAR","perhisable goods(mutton shop,chicken shop,tea shop,jewellary)","TRADE/BUSINESS/SERVICES",802,"12",1
"4399","MAHBUBNAGAR","tailor shop","TRADE/BUSINESS/SERVICES",804,"12",1
"4400","MAHBUBNAGAR","private transport business(auto,tractor,lorry(owner))","TRADE/BUSINESS/SERVICES",805,"12",1
"4401","MAHBUBNAGAR","mobile shop(recharge & repair)","TRADE/BUSINESS/SERVICES",806,"12",1
"4403","MAHBUBNAGAR","fire wood","NTFP COLLECTION",901,"12",1
"4404","MAHBUBNAGAR","govt.salaried job(teacher,police(s.i),conistable,village revenue officer,vatenary doctor,home guard,bank manager,sarpanch)","SALARIED JOB",1001,"12",1
"4405","MAHBUBNAGAR","private salaried job(watchman,teacher,mechanic worker,sales man)","SALARIED JOB",1002,"12",1
"4409","MAHBUBNAGAR","social secretary pension(old age pension,widow pension,disabled penson)","PENSION / REMITTANCES",1101,"12",1
"4410","MAHBUBNAGAR","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"12",1
